region,posicion,n,esperado,OR,OR_ic_lo,OR_ic_hi,p_crudo,p_fdr_bh,significativo_tras_fdr
AMBA,mediocampista,378,462.76123535676254,0.6675532936913035,0.5814933768817485,0.766349914951361,7.387559007615681e-09,1.7730141618277635e-07,True
AMBA,defensor,691,607.2029818956337,1.3965886043539093,1.2345165059938892,1.5799381542014432,1.3654069953374058e-07,1.638488394404887e-06,True
Pampeana,defensor,794,858.4724174653887,0.791017922730662,0.7026914980360308,0.8904467406108392,0.0001152265117574019,0.0009218120940592151,True
Pampeana,mediocampista,707,654.2585729499467,1.2453089630235035,1.0973248691816218,1.4132500382892503,0.0007077722610407719,0.004246633566244631,True
Pampeana,arquero,208,179.05005324813632,1.4064982294956456,1.1356788766584884,1.741898445267345,0.0019746430969550814,0.009478286865384392,True
AMBA,arquero,100,126.64323748668797,0.6925704735923714,0.5459886285092873,0.8785052212562751,0.0024402748370567187,0.009761099348226875,True
NEA,defensor,65,82.74888178913739,0.6833760154415508,0.5082315539508043,0.9188779697963725,0.012329698008228925,0.04227325031392774,True
NEA,mediocampista,78,63.064536741214056,1.3903603994789404,1.046519587125916,1.8471723455727826,0.026448728861185256,0.07934618658355577,False
NOA,delantero,44,56.949307774227904,0.7059324288374568,0.5042097049813572,0.9883597819736071,0.0409714599180549,0.1092572264481464,False
Patagonia,defensor,40,51.00958466453674,0.6862138044072118,0.4719910067416601,0.9976660119220365,0.04786911802085231,0.11449219041086679,False
AMBA,delantero,438,410.3925452609159,1.1457010889053505,0.9990672349463474,1.313856504551866,0.05247558727164728,0.11449219041086679,False
NOA,mediocampista,77,64.21640042598509,1.32242277733011,0.9958986642073041,1.7560039639107852,0.058052633232922,0.116105266465844,False
NOA,arquero,11,17.57401490947817,0.5944578756503915,0.32119163332483386,1.1002159746962927,0.09833800822073466,0.18154709209981781,False
Pampeana,delantero,563,580.2189563365282,0.9256222146166613,0.8116638575491071,1.0555804305232555,0.255000476728256,0.4080007627652096,False
Patagonia,mediocampista,45,38.87539936102237,1.2444529456771232,0.8651485470118164,1.7900545973907958,0.24743224923601775,0.4080007627652096,False
Cuyo,arquero,23,18.83493077742279,1.2609003095314335,0.8091211897081507,1.9649338205441502,0.3227301998868386,0.4840952998302579,False
NOA,defensor,91,84.26027689030884,1.1424359459118818,0.8687898074419279,1.5022734835650293,0.35778551116211776,0.5051089569347544,False
NEA,delantero,61,55.92779552715655,1.1324442170363285,0.8364150781116557,1.533245798957043,0.4276936637970665,0.5402446279541893,False
Patagonia,arquero,13,10.638977635782748,1.2545116407218626,0.7010350319353122,2.244965493895434,0.4176039567499392,0.5402446279541893,False
Cuyo,delantero,56,61.03535676251331,0.8869765596240361,0.6526532396909479,1.2054294217478057,0.49325416666121,0.591904999993452,False
Patagonia,delantero,37,34.47603833865815,1.1040605570971935,0.7520082091322081,1.6209260735921909,0.6169968543221283,0.7051392620824323,False
NEA,arquero,15,17.25878594249201,0.8535625517812759,0.4996924075915489,1.4580350206139199,0.6993265135585282,0.7629016511547579,False
Cuyo,defensor,93,90.30585729499468,1.0515389567527482,0.8051382253414706,1.3733470139238522,0.7322320316862763,0.7640682069769839,False
Cuyo,mediocampista,67,68.82385516506922,0.9612568998280698,0.7195587923046535,1.2841408337289193,0.8261655993058545,0.8261655993058546,False
