primer_club_qid,primer_club,formados,km_mediana,km_p90,pct_de_otra_provincia,provincias_de_origen,a_seleccion,a_europa_top,prov_club,region_club,reportable
Q170703,Boca Juniors,143,277.25564770844716,941.7035399968606,76.92307692307693,15,23,41,02,AMBA,True
Q15799,Club Atlético River Plate,122,264.5341035953049,979.9509803885336,76.22950819672131,15,36,37,02,AMBA,True
Q215163,Club Atlético Vélez Sarsfield,98,17.55758123556891,579.3373415730476,56.12244897959183,10,16,21,02,AMBA,True
Q221882,Club Atlético Newell’s Old Boys,98,36.909018003817955,384.74669633680475,33.6734693877551,10,24,27,82,Pampeana,True
Q318307,Club Atlético Rosario Central,94,0.0,326.5328629499486,18.085106382978726,10,9,21,82,Pampeana,True
Q214940,Club Estudiantes de La Plata,85,233.08412399866415,917.4782769299027,41.17647058823529,15,16,21,06,AMBA,True
Q220621,Asociación Atlética Argentinos Juniors,79,10.928798504074466,492.94725550060764,48.10126582278481,8,12,16,02,AMBA,True
Q214978,Club Atlético Independiente,76,125.36410771372331,847.9927776529225,57.89473684210527,12,10,11,06,AMBA,True
Q324589,Club Atlético Lanús,75,20.44249807083568,849.4939085795377,50.66666666666667,12,6,10,06,AMBA,True
Q218282,Club Atlético San Lorenzo de Almagro,70,58.42065374085962,1056.0969649849308,65.71428571428571,12,12,10,02,AMBA,True
Q276533,Racing Club,65,282.8142932056595,774.3683742837281,58.46153846153847,12,16,21,06,AMBA,True
Q18640,Club de Gimnasia y Esgrima La Plata,60,270.1508378420353,680.1141618896738,38.333333333333336,11,7,12,06,AMBA,True
Q692646,Club Atlético Banfield,51,29.47892490837558,655.075265452021,41.17647058823529,11,2,8,06,AMBA,True
Q327172,Club Atlético Huracán,47,11.272050933249929,664.7999929735362,51.06382978723404,9,10,14,02,AMBA,True
Q80899,Club Atlético Unión,44,3.839441617330123,355.1717373016921,22.727272727272727,7,1,2,82,Pampeana,True
Q80897,Club Atlético Colón,42,71.53356400579236,381.5855383317378,35.714285714285715,8,5,2,82,Pampeana,True
Q910444,Club Ferro Carril Oeste,33,291.37722779324486,1082.786875434061,84.84848484848484,12,4,5,02,AMBA,True
Q476836,Arsenal Fútbol Club,31,10.305991512684416,613.2127146901718,35.483870967741936,6,2,5,06,AMBA,True
Q59962,Club Atlético Belgrano,30,41.4590643775632,321.42978627173056,10.0,4,1,7,14,Pampeana,True
Q853053,Club Atlético Chacarita Juniors,30,33.03562759401764,635.0144294779859,70.0,8,5,6,06,AMBA,True
Q1022939,Talleres de Córdoba,29,49.10772487975178,336.67078925068057,13.793103448275861,5,3,5,14,Pampeana,True
Q80882,Club Deportivo Godoy Cruz Antonio Tomba,28,3.1705792146147442,983.6653373809023,21.428571428571427,5,4,3,50,Cuyo,True
Q80886,Club Atlético Tigre,27,45.01126866047174,746.6725492587987,44.44444444444444,7,1,4,06,AMBA,True
Q151907,Club Atlético Platense,27,14.218570321676664,380.51418091337047,66.66666666666666,4,1,3,06,Pampeana,True
Q1421829,Instituto Atlético Central Córdoba,26,36.54618375936883,309.9124417080328,11.538461538461538,4,1,4,14,Pampeana,True
Q59839,Asociación Mutual Social y Deportiva Atlético de Rafaela,25,63.16144393409501,270.67809122847694,24.0,4,1,1,82,Pampeana,True
Q646088,Club Atlético All Boys,24,10.967459866182748,750.0927971431279,33.33333333333333,8,1,3,02,AMBA,True
Q775966,Quilmes Atlético Club,23,299.426270184043,958.4422940182009,56.52173913043478,6,3,4,06,Pampeana,True
Q744555,Club Atlético Nueva Chicago,22,0.0,812.2865172891801,36.36363636363637,5,0,3,02,AMBA,True
Q1022771,Comisión de Actividades Infantiles,14,495.37612247384016,1392.5383935295276,50.0,7,0,1,26,Patagonia,True
Q1024338,Club Social y Deportivo Defensa y Justicia,14,28.691890230521608,886.3141638942566,57.14285714285714,6,0,0,06,AMBA,True
Q971490,Club Atlético Aldosivi,12,0.0,596.0941155255889,33.33333333333333,4,0,1,06,Pampeana,True
Q1074980,Club Olimpo,11,176.46090698957858,574.1873833642566,45.45454545454545,4,0,3,06,Pampeana,True
Q2634936,Central Córdoba de Rosario,10,0.0,110.24662789209212,10.0,2,0,0,82,Pampeana,True
Q1191661,Club Deportivo Español,10,5.6360254666249645,321.17878878163316,50.0,3,0,3,02,AMBA,True
Q2979817,Club Atlético Defensores de Belgrano,10,12.17470363696878,469.37405731692036,60.0,3,1,0,02,AMBA,True
Q162923,Tiro Federal,10,28.881045783177786,275.27797963105326,20.0,3,0,1,82,Pampeana,True
Q632805,Club Atlético Racing,10,0.0,264.78120578124094,20.0,3,1,2,14,Pampeana,True
Q757470,Atlético Tucumán,9,22.337188366109917,1126.9535617436306,44.44444444444444,5,0,1,90,NOA,False
Q1022904,Club Atlético Atlanta,9,7.099898354304703,502.5350755837396,55.55555555555556,4,0,0,02,AMBA,False
Q2778591,Club Atlético Temperley,9,18.56383524033919,552.5946797005313,22.22222222222222,3,2,1,06,AMBA,False
Q2317584,Club Atlético Los Andes,9,7.413005274771577,490.27044818983745,33.33333333333333,4,1,0,06,AMBA,False
Q1022923,Club Atlético Gimnasia y Esgrima (Jujuy),8,175.9215020483909,596.2078303850429,62.5,5,0,2,38,NOA,False
Q2454482,Club Sportivo Independiente Rivadavia,8,0.0,845.0076074876717,25.0,3,1,0,50,Cuyo,False
Q1102935,Club Almagro,8,0.0,1026.5398223909765,37.5,4,0,1,02,AMBA,False
Q1102931,Club Almirante Brown,8,558.5931557238617,1081.0785845131243,100.0,5,0,0,06,AMBA,False
Q80921,Club Atlético San Martín (San Juan),7,85.37601664082851,1032.8507917823124,42.857142857142854,4,1,0,70,Cuyo,False
Q2318771,Club Deportivo Morón,7,22.19309107843121,631.1296314381563,42.857142857142854,3,2,3,06,AMBA,False
Q1022941,Club Atlético Talleres de Remedios de Escalada,7,13.10809264478342,232.95661938200973,42.857142857142854,2,1,1,06,AMBA,False
Q945037,Club Atlético Argentino,7,0.0,322.1997636164605,28.57142857142857,2,0,1,82,Pampeana,False
Q2979925,Club El Porvenir,7,12.648578998764746,1069.3247383207938,71.42857142857143,4,1,0,02,AMBA,False
Q519966,Club Atlético Sarmiento,7,0.0,101.98451554930276,14.285714285714285,2,0,0,06,Pampeana,False
Q2979938,Club Gimnasia y Esgrima (Concepción del Uruguay),6,0.0,480.67116526702995,16.666666666666664,2,0,1,30,Pampeana,False
Q7579610,Club Sportivo Belgrano,5,0.0,132.63083959335273,20.0,2,0,0,14,Pampeana,False
Q1022938,Club Atlético San Martín (Tucumán),5,11.312159427452082,31.014490019927656,0.0,1,0,0,90,NOA,False
Q2979822,Club Atlético San Telmo,5,5.6149570488415055,564.8258669320492,80.0,3,0,0,06,AMBA,False
Q1773830,Club Atlético Patronato,4,88.97003132099505,216.26114470765495,25.0,2,0,0,30,Pampeana,False
Q686739,Club Social y Atlético Guillermo Brown,4,602.0525424348684,1439.8681455601545,50.0,3,0,0,26,Patagonia,False
Q965275,Club Deportivo Armenio,4,404.04465362285424,862.6703489353577,75.0,4,0,0,06,Pampeana,False
Q2757455,Club Atlético Douglas Haig,4,213.70310666993348,371.5568558460079,75.0,3,0,1,06,Pampeana,False
Q2759870,Club de Gimnasia y Tiro,4,139.9923630380128,258.3305802224523,25.0,2,0,0,66,NOA,False
Q5136176,Club Cipolletti,4,0.0,27.34962295603367,0.0,1,0,0,62,Patagonia,False
Q2979814,Club Atlético Brown,3,152.66323613320577,152.66323613320577,33.33333333333333,2,0,0,06,AMBA,False
Q2979819,Club Atlético Juventud Unida Universitario,3,729.2898056942327,1104.8618894962283,66.66666666666666,3,0,0,74,Cuyo,False
Q5136135,Club Atlético Fénix,3,0.0,5.046165108161216,0.0,1,0,0,06,AMBA,False
Q5613945,Guaraní Antonio Franco,3,0.0,230.7655717731699,33.33333333333333,2,0,1,54,NEA,False
Q972701,Club Atlético San Miguel,3,248.48209923630557,330.6442976944336,66.66666666666666,3,1,1,06,AMBA,False
Q2979984,Club Tristán Suárez,3,19.080296877781283,29.474584591894672,0.0,1,0,0,06,AMBA,False
Q3298533,Club Villa Dálmine,3,0.0,107.38121218978846,33.33333333333333,2,0,0,06,Pampeana,False
Q2333719,Club Atlético Estudiantes,3,5.132382812111212,59.55419410686887,0.0,1,1,0,06,Pampeana,False
Q2321833,Club Atlético Huracán,3,177.3132795589044,391.30385086005236,0.0,1,1,1,06,Pampeana,False
Q2638852,Club Sportivo Desamparados,3,0.0,184.0630646743183,33.33333333333333,2,0,1,70,Cuyo,False
Q2469413,Club Sportivo Dock Sud,3,7.099898354304703,20.810853319997406,66.66666666666666,2,0,0,02,AMBA,False
Q2602791,Club Atlético Boca Unidos,3,17.144284799813903,966.3732821478792,100.0,2,0,0,18,NEA,False
Q2602775,Deportivo Merlo,2,6.155243217514522,9.470636637107491,0.0,1,0,0,06,Pampeana,False
Q2057329,Club Mutual Crucero del Norte,2,197.03025763114408,270.17162329939873,50.0,2,0,0,54,NEA,False
Q1617151,Cañuelas Fútbol Club,2,30.583687615325275,40.08927844734893,0.0,1,1,1,06,Pampeana,False
Q676088,Club Sportivo Italiano,2,183.6370855712793,314.99245624016913,50.0,2,0,0,06,AMBA,False
Q7396557,Sacachispas Fútbol Club,2,345.35096527104,600.499318660325,100.0,2,0,1,02,AMBA,False
Q5136383,Club Social y Deportivo Yupanqui,2,457.25514145579143,813.3759748198016,50.0,2,0,0,02,AMBA,False
Q5136136,Club Atlético General Lamadrid,2,111.53821306614705,190.90397536780242,50.0,2,1,0,02,AMBA,False
Q2980015,Club Villa Mitre,2,287.0936916821283,516.7686450278309,50.0,2,0,1,06,Pampeana,False
Q18621008,Club Atlético Paraná,2,25.35544908834985,45.63980835902973,0.0,1,0,0,30,Pampeana,False
Q6096017,Racing de Olavarría,2,134.0014693133018,241.20264476394325,0.0,1,0,0,06,Pampeana,False
Q5532094,Club Atlético General Paz Juniors,2,0.0,0.0,0.0,1,0,0,14,Pampeana,False
