ciudad_id,ciudad_nombre,prov_id,pob_ciudad,tramo,futbolistas,nacimientos_cohorte,tasa,tasa_ic_lo,tasa_ic_hi
LOC_82021310,Rafaela,82,101699.0,100–500k,48.0,48970.576237349145,98.01804203274027,72.27076653529498,129.95770332306031
AGLO_8,Gran Santa Fe,82,530462.0,>500k,192.0,263713.48210679315,72.80628903237032,62.871695430002724,83.8649288372024
AGLO_3,Gran Rosario,82,1431452.0,>500k,411.0,705016.1817750026,58.296534267516385,52.79607199363444,64.21433369625308
LOC_06791050,Tandil,06,138549.0,100–500k,33.0,61518.31010057815,53.642565841043584,36.92507407240427,75.33410653413536
AGLO_24,Gran San Nicolás de los Arroyos,06,160350.0,100–500k,32.0,79663.76292812807,40.16882811432108,27.475448694322537,56.706400023027356
AGLO_20,Gran Río Cuarto,14,190904.0,100–500k,32.0,100292.688660951,31.906612961767387,21.8240996462653,45.042617445561774
AGLO_16,Gran Paraná,30,302893.0,100–500k,51.0,161833.27314509265,31.513914913081948,23.464179584532015,41.43497815587322
LOC_06357110,Mar del Plata,06,644234.0,>500k,103.0,327203.3495915557,31.47889535011599,25.694094650853803,38.17731560601816
AGLO_1,Gran Buenos Aires,02,16224751.0,>500k,2089.0,6688570.0322867455,31.232385845047286,29.90728336450458,32.60108030708511
AGLO_2,Gran Córdoba,14,1712614.0,>500k,241.0,844667.543118853,28.531935666680276,25.04312095248636,32.37080819806201
AGLO_4,Gran Mendoza,50,1061497.0,>500k,141.0,594245.1724487892,23.727580220628727,19.972875266824175,27.983050759672413
LOC_06056010,Bahía Blanca,06,323357.0,100–500k,37.0,164481.22209412133,22.494969048094397,15.838534171516912,31.00635166289513
AGLO_12,Gran Santiago del Estero - La Banda,86,449789.0,100–500k,44.0,235604.81488568586,18.67533989971663,13.569530560594115,25.07077213552158
AGLO_17,Gran Posadas,54,389669.0,100–500k,34.0,221220.55715697256,15.369276904892004,10.643671043584177,21.47702397363101
AGLO_15,Gran Neuquén - Cipolletti,58,508296.0,>500k,37.0,254972.00229945622,14.511397199032354,10.217362821079275,20.00204951210033
AGLO_6,Gran San Miguel de Tucumán,90,1054175.0,>500k,78.0,595825.803717304,13.091074524360135,10.347951166323368,16.338253469978515
AGLO_1330,Santa Ana de los Guácaras,18,5231.0,<10k,30.0,237992.99577704823,12.605412987911624,8.504819209210073,17.995010842641715
AGLO_11,Gran Resistencia,22,407618.0,100–500k,34.0,278543.79801697034,12.206338910453336,8.453244535402554,17.057135155566606
