unidad,jugadores,nacimientos,pct_jugadores,pct_nacimientos,esperado,obs_sobre_esp,residuo_estand,tasa,tasa_ic_lo,tasa_ic_hi,departamento,provincia,region,reportable
50007,87.0,84393.05329540597,1.6143997030989052,0.3669651691185827,19.775752963800414,4.3993267998065,15.144598101131391,103.08905366353883,82.57010596820413,127.15996683623436,Capital,Mendoza,Cuyo,True
6568,62.0,66612.6645325784,1.1504917424383003,0.289650945796124,15.609289468953127,3.971993736378455,11.75897152680582,93.075394048646,71.3603709140392,119.318454581372,Morón,Buenos Aires,AMBA,True
82021,78.0,91231.587884179,1.4473928372610874,0.3967010763277721,21.37822100330364,3.64857300277448,12.270460669497202,85.49670328989903,67.58159606220381,106.70375503543262,Castellanos,Santa Fe,Pampeana,True
82014,35.0,47237.2656510502,0.6494711449248469,0.2054011616058056,11.069068598936866,3.161964323119435,7.200299210481145,74.09404316192011,51.60921587335309,103.04687771020647,Caseros,Santa Fe,Pampeana,True
82063,195.0,280121.7250749555,3.618482093152719,1.2180494981749392,65.64068745664748,2.9707184302234517,16.064689648415083,69.6125942919356,60.18444204405534,80.09876069812918,La Capital,Santa Fe,Pampeana,True
14063,42.0,62355.82664450501,0.7793653739098163,0.2711409953380065,14.61178823876517,2.874391505933115,7.174663998676707,67.35537360356872,48.54382879894862,91.0448980207587,Marcos Juárez,Córdoba,Pampeana,True
2000,962.0,1528013.0,17.85117832622008,6.644238205218683,358.05799687923485,2.6867155834658307,33.03299735866715,62.95757954938865,59.04152239665712,67.06511117783597,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,AMBA,True
82084,389.0,667934.458915916,7.218407867879013,2.904370349277917,156.51651812258694,2.485360680559781,18.858718206212767,58.239247100885066,52.59485495186203,64.32434449842641,Rosario,Santa Fe,Pampeana,True
82119,47.0,82180.61391383225,0.8721469660419373,0.3573448489604541,19.25731391047887,2.4406311398613565,6.333270056554781,57.19110354819239,42.02187173154372,76.0520436196538,San Lorenzo,Santa Fe,Pampeana,True
14140,63.0,115305.57305342238,1.1690480608647245,0.5013816595514455,27.0194576332274,2.331653020396873,6.939383146156756,54.63742847087832,41.98490022078804,69.90500558853783,San Justo,Córdoba,Pampeana,True
6623,31.0,59157.12991194265,0.5752458712191502,0.2572321457160471,13.86224033263778,2.236290762252364,4.608893028116171,52.40281272290344,35.605168828330285,74.38160973790858,Pergamino,Buenos Aires,Pampeana,True
6791,33.0,64239.69908647082,0.6123585080719985,0.2793326123286131,15.053234478388964,2.192219887850425,4.632108113107275,51.37010364195488,35.360815657235655,72.14272471417853,Tandil,Buenos Aires,Pampeana,True
6441,155.0,342734.2018897365,2.8762293560957506,1.490306481967706,80.31261631323969,1.9299582944161655,8.396839951082175,45.22454985390287,38.38518345540069,52.93107792577967,La Plata,Buenos Aires,AMBA,True
82042,44.0,107050.90130693032,0.8164780107626647,0.4654879823447844,25.08514736856043,1.7540259721633455,3.785365222746933,41.10194259256695,29.864734409363276,55.177439478955385,General López,Santa Fe,Pampeana,True
6763,34.0,82784.70722511281,0.6309148264984227,0.3599716197132732,19.39887058634829,1.7526793556696578,3.321095055760047,41.07038744190433,28.44243722520477,57.39174986269735,San Nicolás,Buenos Aires,Pampeana,True
6035,83.0,208449.8777450168,1.5401744293932085,0.9063997764329256,48.845883951970364,1.6992219872940166,4.909149515765626,39.81772543974745,31.71459605203991,49.36006147392706,Avellaneda,Buenos Aires,AMBA,True
30084,66.0,207687.8059376342,1.224717016143997,0.9030860699279868,48.66730830841921,1.3561465035571387,2.4958431195832587,31.778466579698424,24.577463750553186,40.430001204654886,Paraná,Entre Ríos,Pampeana,True
6357,103.0,335499.8175140467,1.9113007979216925,1.4588493064985215,78.61738912720531,1.310142719613124,2.7702061214286777,30.700463792558576,25.058713583740907,37.23324095155465,General Pueyrredón,Buenos Aires,Pampeana,True
14014,230.0,769651.8263477429,4.267953238077565,3.34666659860617,180.35186299888647,1.2752848580301055,3.760401540208963,29.88364246355751,26.14609007635753,34.00556171531497,Capital,Córdoba,Pampeana,True
14098,40.0,141015.16054952098,0.7422527370569679,0.613174310191192,33.04396357620333,1.2105085368392692,1.2138118417497072,28.365744395229765,20.26490366739936,38.62609293335949,Río Cuarto,Córdoba,Pampeana,True
6658,83.0,317511.0324401754,1.5401744293932085,1.3806289163229908,74.40209230064598,1.1155600257128706,1.0037350501745883,26.140823946216308,20.821020356279806,32.40548430916413,Quilmes,Buenos Aires,Pampeana,True
6434,71.0,283790.2101583166,1.317498608276118,1.2340011221114784,66.50032047058757,1.0676640277455896,0.555221128900883,25.01848106754338,19.53964128063633,31.557409629155284,Lanús,Buenos Aires,AMBA,True
6490,85.0,356447.75671780633,1.5772870662460567,1.5499369464454449,83.52610204394502,1.017645956413476,0.1625355293677435,23.846411822783068,19.04766679694545,29.48645750690132,Lomas de Zamora,Buenos Aires,AMBA,True
