localidad_nombre,prov_nombre,seleccionados
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,53
Rosario,Santa Fe,22
Córdoba,Córdoba,8
La Plata,Buenos Aires,8
Santa Fe,Santa Fe,7
La Matanza,Buenos Aires,5
Mar del Plata,Buenos Aires,5
Mendoza,Mendoza,5
General San Martín,Buenos Aires,5
Guaymallén,Mendoza,4
Quilmes,Buenos Aires,4
Lanus,Buenos Aires,4
Almirante Brown,Buenos Aires,3
Escobar,Buenos Aires,3
San Nicolás de los Arroyos,Buenos Aires,3
San Miguel de Tucumán,Tucumán,3
Tandil,Buenos Aires,3
Tres de Febrero,Buenos Aires,3
Río Cuarto,Córdoba,3
Bahía Blanca,Buenos Aires,3
Carcarañá,Santa Fe,3
Pergamino,Buenos Aires,2
Capitán Bermúdez,Santa Fe,2
Crespo,Entre Ríos,2
Viedma,Río Negro,2
Villa María,Córdoba,2
San Lorenzo,Santa Fe,2
Morón,Buenos Aires,2
Merlo,Buenos Aires,2
Tres Sargentos,Buenos Aires,2
Villa Constitución,Santa Fe,2
Vicente López,Buenos Aires,2
Comodoro Rivadavia,Chubut,2
Avellaneda,Buenos Aires,2
Altos de Chipión,Córdoba,2
Basavilbaso,Entre Ríos,1
Calchín,Córdoba,1
Anisacate,Córdoba,1
Azul,Buenos Aires,1
América,Buenos Aires,1
Alta Gracia,Córdoba,1
Acébal,Santa Fe,1
Armstrong,Santa Fe,1
Huerta Grande,Córdoba,1
Hasenkamp,Entre Ríos,1
Gualeguaychú,Entre Ríos,1
Gualeguay,Entre Ríos,1
Freyre,Córdoba,1
Granadero Baigorria,Santa Fe,1
Famaillá,Tucumán,1
Firmat,Santa Fe,1
Esquel,Chubut,1
Embalse,Córdoba,1
Ezeiza,Buenos Aires,1
Etruria,Córdoba,1
Eduardo O'Brien,Buenos Aires,1
Chajarí,Entre Ríos,1
Corrientes,Corrientes,1
Coronel Brandsen,Buenos Aires,1
Berisso,Buenos Aires,1
Bella Vista,Corrientes,1
Campana,Buenos Aires,1
Casilda,Santa Fe,1
Calchaquí,Santa Fe,1
Bernardo de Irigoyen,Misiones,1
Luján,Buenos Aires,1
Maipú,Mendoza,1
María Grande,Entre Ríos,1
Laguna Larga,Córdoba,1
Lomas de Zamora,Buenos Aires,1
La Rioja,La Rioja,1
La Carlota,Córdoba,1
La Para,Córdoba,1
Justiniano Posse,Córdoba,1
Ituzaingo,Buenos Aires,1
Resistencia,Chaco,1
Reconquista,Santa Fe,1
Ramona,Santa Fe,1
Pujato,Santa Fe,1
Pilar,Buenos Aires,1
Puerto Madryn,Chubut,1
Morteros,Córdoba,1
Nuestra Señora del Rosario de Caá Catí,Corrientes,1
Mercedes,Buenos Aires,1
Miramar,Buenos Aires,1
Moreno,Buenos Aires,1
Las Rosas,Santa Fe,1
Los Quirquinchos,Santa Fe,1
San Juan,San Juan,1
San Fernando del Valle de Catamarca,Catamarca,1
Rivadavia,Mendoza,1
Santiago del Estero,Santiago del Estero,1
Santa Rosa,La Pampa,1
Santa Elena,Entre Ríos,1
San Luis,San Luis,1
San Martín - La Colonia,Mendoza,1
San Gregorio,Santa Fe,1
San Isidro,Buenos Aires,1
Tres Algarrobos,Buenos Aires,1
Venado Tuerto,Santa Fe,1
Ucacha,Córdoba,1
Trenque Lauquen,Buenos Aires,1
Villa Gobernador Gálvez,Santa Fe,1
Villa Mercedes,San Luis,1
Villa de María,Córdoba,1
Zapala,Neuquén,1
Zárate,Buenos Aires,1
