primer_club,seleccionados,de_los_cuales_mayor,pct_del_total,acumulado_pct
Club Atlético River Plate,61,36,12.734864300626304,12.734864300626304
Boca Juniors,47,23,9.812108559498956,22.54697286012526
Club Atlético Vélez Sarsfield,38,16,7.933194154488517,30.480167014613777
Club Atlético Newell’s Old Boys,36,24,7.515657620041754,37.995824634655534
Asociación Atlética Argentinos Juniors,29,12,6.054279749478079,44.05010438413361
Racing Club,26,16,5.427974947807933,49.478079331941544
Club Estudiantes de La Plata,23,16,4.801670146137787,54.27974947807933
Club Atlético Independiente,22,10,4.592901878914405,58.872651356993735
Club Atlético San Lorenzo de Almagro,21,12,4.384133611691023,63.256784968684755
Club Atlético Lanús,17,6,3.549060542797495,66.80584551148225
Club Atlético Rosario Central,17,9,3.549060542797495,70.35490605427974
Club Atlético Huracán,15,11,3.1315240083507305,73.48643006263046
Club de Gimnasia y Esgrima La Plata,10,7,2.0876826722338206,75.57411273486429
Club Atlético Banfield,9,2,1.8789144050104385,77.45302713987472
Club Atlético Colón,8,5,1.6701461377870563,79.12317327766178
Arsenal Fútbol Club,7,3,1.4613778705636744,80.58455114822546
Club Atlético Chacarita Juniors,7,5,1.4613778705636744,82.04592901878914
Quilmes Atlético Club,5,3,1.0438413361169103,83.08977035490605
Club Ferro Carril Oeste,4,4,0.8350730688935282,83.92484342379957
Club Deportivo Godoy Cruz Antonio Tomba,4,4,0.8350730688935282,84.7599164926931
Club Atlético Platense,4,1,0.8350730688935282,85.59498956158662
Club Atlético Unión,4,1,0.8350730688935282,86.43006263048014
Talleres de Córdoba,4,3,0.8350730688935282,87.26513569937366
Asociación Mutual Social y Deportiva Atlético de Rafaela,3,1,0.6263048016701461,87.8914405010438
Club Deportivo Universidad Católica,2,0,0.4175365344467641,88.30897703549057
Club Deportivo Morón,2,2,0.4175365344467641,88.72651356993734
selección de fútbol sub-15 de Argentina,2,1,0.4175365344467641,89.1440501043841
Club Atlético Temperley,2,2,0.4175365344467641,89.56158663883087
Instituto Atlético Central Córdoba,2,1,0.4175365344467641,89.97912317327764
Club Sportivo Independiente Rivadavia,2,1,0.4175365344467641,90.39665970772441
Calcio Como 1907,1,0,0.20876826722338204,90.60542797494779
Boston River S.A.D.,1,0,0.20876826722338204,90.81419624217116
Audax Italiano,1,1,0.20876826722338204,91.02296450939454
Asociación Atlética Luján de Cuyo,1,1,0.20876826722338204,91.23173277661792
AE Larisa,1,0,0.20876826722338204,91.4405010438413
Asociación Atlética Estudiantes,1,1,0.20876826722338204,91.64926931106467
Cañuelas Fútbol Club,1,1,0.20876826722338204,91.85803757828805
Calcio Lecco 1912,1,0,0.20876826722338204,92.06680584551142
Club Atlético General Lamadrid,1,1,0.20876826722338204,92.2755741127348
Club Atlético All Boys,1,1,0.20876826722338204,92.48434237995818
Club Atlético Bella Vista,1,0,0.20876826722338204,92.69311064718156
Club Atlético Belgrano,1,1,0.20876826722338204,92.90187891440493
Club Atlético Defensores de Belgrano,1,1,0.20876826722338204,93.11064718162831
Club Atlético Estudiantes,1,1,0.20876826722338204,93.31941544885169
Club El Porvenir,1,1,0.20876826722338204,93.52818371607506
Club Atlético Tigre,1,1,0.20876826722338204,93.73695198329844
Club Atlético Sarmiento,1,0,0.20876826722338204,93.94572025052182
Club Atlético Talleres de Remedios de Escalada,1,1,0.20876826722338204,94.1544885177452
Club Atlético San Martín (San Juan),1,1,0.20876826722338204,94.36325678496857
Club Atlético San Miguel,1,1,0.20876826722338204,94.57202505219195
Club Atlético Los Andes,1,1,0.20876826722338204,94.78079331941532
Club Atlético Racing,1,1,0.20876826722338204,94.9895615866387
Club Sportivo Trinidense,1,0,0.20876826722338204,95.19832985386208
Comisión de Actividades Infantiles,1,0,0.20876826722338204,95.40709812108545
FC Dallas,1,1,0.20876826722338204,95.61586638830883
Deportivo Aragón,1,0,0.20876826722338204,95.82463465553221
Club Social y Deportivo Defensa y Justicia,1,0,0.20876826722338204,96.03340292275558
Club Social y Deportivo Colo Colo,1,0,0.20876826722338204,96.24217118997896
Club Social y Deportivo Flandria,1,1,0.20876826722338204,96.45093945720234
Club Olimpia,1,1,0.20876826722338204,96.65970772442572
PFC CSKA Sofia,1,0,0.20876826722338204,96.86847599164909
Olympique de Marsella,1,0,0.20876826722338204,97.07724425887247
Getafe Club de Fútbol,1,0,0.20876826722338204,97.28601252609585
Fútbol Club Barcelona Atlètic,1,0,0.20876826722338204,97.49478079331922
Real Madrid Castilla Club de Fútbol,1,1,0.20876826722338204,97.7035490605426
Selección de fútbol sub-23 de Argentina,1,1,0.20876826722338204,97.91231732776598
Q127784822,1,0,0.20876826722338204,98.12108559498935
Racing Club de France,1,1,0.20876826722338204,98.32985386221273
Sport Lisboa e Benfica,1,1,0.20876826722338204,98.5386221294361
Sevilla Atlético Club,1,0,0.20876826722338204,98.74739039665948
Udinese Calcio,1,0,0.20876826722338204,98.95615866388286
TSV 1860 München II,1,1,0.20876826722338204,99.16492693110624
Unione Calcio Sampdoria,1,1,0.20876826722338204,99.37369519832961
Valencia Club de Fútbol Mestalla,1,0,0.20876826722338204,99.58246346555299
Yokohama F. Marinos,1,0,0.20876826722338204,99.79123173277637
selección de fútbol sub-17 de Italia,1,1,0.20876826722338204,99.99999999999974
