grupo,tramo,seleccionados,nacimientos,por_millon,ic_lo,ic_hi
Selección Mayor,<10k,25,3339077.956239408,7.487096835605454,4.845254306686015,11.052431893232601
Selección Mayor,10–50k,24,3418173.8684548303,7.021292925292032,4.498674861626531,10.447127316521144
Selección Mayor,50–100k,11,1280831.9268431645,8.588168181528262,4.287182613233862,15.366605173413971
Selección Mayor,100–500k,27,2934614.3659230373,9.20052744017273,6.063205557220875,13.386284379074144
Selección Mayor,>500k,168,10975565.691540722,15.306728119670758,13.07959565082089,17.804373305417016
Juveniles (sub-17 / sub-20),<10k,19,3339077.956239408,5.690193595060145,3.4258682529383133,8.885942155421251
Juveniles (sub-17 / sub-20),10–50k,25,3418173.8684548303,7.313846797179201,4.733136016613112,10.796680659843984
Juveniles (sub-17 / sub-20),50–100k,20,1280831.9268431645,15.614851239142295,9.537956799307548,24.1158712984337
Juveniles (sub-17 / sub-20),100–500k,31,2934614.3659230373,10.56356854242054,7.177432314012686,14.994142335771128
Juveniles (sub-17 / sub-20),>500k,242,10975565.691540722,22.048977410478116,19.35827618527635,25.009067647752488
Mayor o juvenil,<10k,37,3339077.956239408,11.080903316696073,7.801978542737016,15.273565580172459
Mayor o juvenil,10–50k,35,3418173.8684548303,10.23938551605088,7.1321071837519145,14.240506551846956
Mayor o juvenil,50–100k,25,1280831.9268431645,19.51856404892787,12.631385514963338,28.813250922382192
Mayor o juvenil,100–500k,46,2934614.3659230373,15.674972675849835,11.476050073236472,20.908216910226614
Mayor o juvenil,>500k,342,10975565.691540722,31.16012510075833,27.944815521586985,34.64392872415617
