decada,region,jugadores,nacimientos,tasa,tasa_ic_lo,tasa_ic_hi,censurada
1970,AMBA,232,947483.2283135171,24.48592155166175,21.43624825910721,27.847791731943417,False
1970,Cuyo,20,291596.0,6.8588046475260285,4.189536065448068,10.59286749567024,False
1970,NEA,22,428652.0,5.1323684480650975,3.2164279817263446,7.770467509104177,False
1970,NOA,27,565440.0,4.7750424448217315,3.1467830595226327,6.947436057789002,False
1970,Pampeana,256,1439885.771686483,17.779188115745946,15.667784655611687,20.095815091709078,False
1970,Patagonia,12,176272.0,6.80766088771898,3.51761772075101,11.89161355642244,False
1980,AMBA,690,1525337.5302089741,45.23588952180759,41.923151043589954,48.74080887651744,False
1980,Cuyo,94,490569.0,19.161422756024127,15.484380056442664,23.44872866586194,False
1980,NEA,96,761789.0,12.60191470341525,10.20759136913167,15.389094749245327,False
1980,NOA,91,946395.0,9.615435415444924,7.7417487937733265,11.805623964258865,False
1980,Pampeana,1042,2519677.469791026,41.354499236222495,38.88135443843288,43.94371163675506,False
1980,Patagonia,64,343275.0,18.643944359478553,14.358108964018776,23.807900723584588,False
1990,AMBA,711,1477620.4087744397,48.11790604528222,44.645558332426326,51.788603628669975,False
1990,Cuyo,122,518485.0,23.530092480978237,19.540319654664245,28.094963181512878,False
1990,NEA,105,818919.0,12.821780908734564,10.486946489247185,15.52154753630528,False
1990,NOA,116,957109.0,12.11983170150944,10.014851443400225,14.53658365748279,False
1990,Pampeana,1024,2587167.5912255603,39.57996395258352,37.19255045279075,42.08042743362081,False
1990,Patagonia,66,371277.0,17.77648494250923,13.748332166722227,22.61604743695591,False
2000,AMBA,226,1657584.045680033,13.634301113659806,11.914542780320883,15.532562868944678,True
2000,Cuyo,29,539030.0,5.380034506428214,3.6030935453588744,7.7266269852487985,True
2000,NEA,32,792145.0,4.039664455371176,2.7631274970219546,5.70280088612823,True
2000,NOA,35,984006.0,3.5568888807588572,2.4775034301132073,4.94677139865845,True
2000,Pampeana,278,2739847.954319967,10.146548444838789,8.988750021520465,11.412110414405841,True
2000,Patagonia,11,377686.0,2.912472265320928,1.4538956612733436,5.211217390451845,True
