caso,player_qid,nombre,p19_label,prov_nombre,localidad_nombre,tramo,estrato,birth_year
1,Q5876167,Gastón Caprari,Córdoba,Córdoba,Córdoba,>500k,metropoli,1985
2,Q5888988,Guillermo Valdez,Sancti Spiritu,Santa Fe,Gaboto,<10k,resto,1978
3,Q19984518,Gabriel Alanís,Córdoba,Córdoba,Córdoba,>500k,metropoli,1994
4,Q60737009,Julián Ramírez,San Salvador de Jujuy,Jujuy,San Salvador de Jujuy,100–500k,resto,1999
5,Q537937,Gerardo Rivero,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1975
6,Q55375268,Santiago López,La Carlota,Córdoba,La Carlota,10–50k,resto,1997
7,Q116168715,Brian Aguilar,Avellaneda,Buenos Aires,Avellaneda,>500k,metropoli,2003
8,Q8194131,Alejandro Molina,Tres Isletas,Chaco,Tres Isletas,10–50k,resto,1997
9,Q125812845,Alejo Sarco,Alberti,Buenos Aires,Alberti,<10k,resto,2006
10,Q61245671,Julián Navas,Mendoza,Mendoza,Mendoza,>500k,metropoli,1993
11,Q102155276,Fabián Sánchez,Mar del Plata,Buenos Aires,Mar del Plata,>500k,metropoli,2001
12,Q311586,Lionel Scaloni,Pujato,Santa Fe,Pujato,<10k,resto,1978
13,Q16149566,Franco Amoroso,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1994
14,Q6041064,Nery Domínguez,Rosario,Santa Fe,Rosario,>500k,metropoli,1990
15,Q28137180,Juan Dobboletta,Carcarañá,Santa Fe,Carcarañá,10–50k,resto,1993
16,Q28058689,Ramón Mierez,Resistencia,Chaco,Resistencia,100–500k,resto,1997
17,Q5972290,Leandro de Muner,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1983
18,Q316992,Mariano Pernía,Tandil,Buenos Aires,Tandil,100–500k,resto,1977
19,Q1379592,José María Calvo,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1981
20,Q6526215,Leonel Altobelli,Presidencia Roque Sáenz Peña,Chaco,Presidencia Roque Sáenz Peña,50–100k,resto,1986
21,Q314241,José Sosa,Carcarañá,Santa Fe,Carcarañá,10–50k,resto,1985
22,Q6007172,Mauro Maidana,Esperanza,Santa Fe,Esperanza,10–50k,resto,1990
23,Q140299237,Matias Panigazzi,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1997
24,Q2706611,Franco Sebastián Sosa,Monteros,Tucumán,Monteros,10–50k,resto,1981
25,Q5859181,Fernando Andrés Márquez,Santa Fe,Santa Fe,Santa Fe,>500k,metropoli,1987
26,Q6121209,Santiago Zurbriggen,San Jerónimo Norte,Santa Fe,San Jerónimo Norte,<10k,resto,1990
27,Q3756478,Gabriel Graciani,Bovril,Entre Ríos,Bovril,<10k,resto,1993
28,Q65030072,Carlos Morel,Barranqueras,Chaco,Barranqueras,100–500k,resto,1987
29,Q510596,Ezequiel Schelotto,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1989
30,Q136789178,Leandro Moreira,Longchamps,Buenos Aires,Almirante Brown,>500k,metropoli,2002
