"caso","localidad_encontrada","provincia_encontrada","club_debut_encontrado","fuente_url","encontrado"
"1","Córdoba Capital","Córdoba","Instituto","https://www.bdfa.com.ar/jugadores-GASTON-NICOLAS-CAPRARI-24710.html","1"
"2","Sancti Spiritu","Santa Fe","Boca Juniors","https://www.bdfa.com.ar/jugadores-GUILLERMO-MIGUEL-VALDEZ-2645.html","1"
"3","Monte Cristo","Córdoba","Belgrano","https://www.bdfa.com.ar/jugadores-GABRIEL-GUSTAVO-ALANIS-100284.html","1"
"4","San Salvador","Jujuy","Gimnasia y Esgrima de Jujuy","https://www.bdfa.com.ar/jugadores-JULIAN-AGUSTIN-RAMIREZ-111647.html","1"
"5","Ciudad Autónoma de Buenos aires","Ciudad Autónoma de Buenos aires","San Lorenzo de Almagro","https://www.bdfa.com.ar/jugadores-GERARDO-DAMIAN-RIVERO-2194.html","1"
"6","","","","","0"
"7","Avellaneda","Buenos Aires","Lanús","https://www.bdfa.com.ar/jugadores-BRIAN-MAURICIO-AGUILAR-137507.html","1"
"8","","","","","0"
"9","Alberti","Buenos aires","Vélez Sarsfield","https://www.bdfa.com.ar/jugadores-ALEJO-URIEL-SARCO-149731.html","1"
"10","Mendoza","Mendoza","Jorge Newbery de Villa Mercedes","https://www.bdfa.com.ar/jugadores-JULIAN-ALEJANDRO-NAVAS-100812.html","1"
"11","","","","","0"
"12","Pujato","Santa Fe","Newells Old Boys","https://www.bdfa.com.ar/jugadores-LIONEL-SEBASTIAN-SCALONI-5406.html","1"
"13","Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","Xerez","https://www.bdfa.com.ar/jugadores-FRANCO-DANIEL-AMOROSO-99101.html","1"
"14","Cañada de Gomez","Santa Fe","Rosario Central","https://www.bdfa.com.ar/jugadores-NERY-ANDRES-DOMINGUEZ-91334.html","1"
"15","Carcaraña","Santa Fe","Defensa y Justicia","https://www.bdfa.com.ar/jugadores-JUAN-IGNACIO-DOBBOLETTA-101944.html","1"
"16","Resistencia","Chaco","Tigre","https://www.bdfa.com.ar/jugadores-RAMON-NAZARENO-MIEREZ-106097.html","1"
"17","Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","Argentinos Juniors","https://www.bdfa.com.ar/jugadores-LEANDRO-DE-MUNER-33980.html","1"
"18","Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","Independiente","https://www.bdfa.com.ar/jugadores-MARIANO-ANDRES-PERNIA-348.html","1"
"19","Santa Rosa","La Pampa","Boca Juniors","https://www.bdfa.com.ar/jugadores-JOSE-MARIA-CALVO-111.html","1"
"20","Sáenz Peña","Buenos Aires","Tigre","https://www.bdfa.com.ar/jugadores-VICTOR-LEONEL-ALTOBELLI-33977.html","1"
"21","Carcaraña","Santa Fe","Estudiantes de La Plata","https://www.bdfa.com.ar/jugadores-JOSE-ERNESTO-SOSA-14461.html","1"
