caso,localidad_encontrada,provincia_encontrada,club_debut_encontrado,fuente_url,encontrado,player_qid,nombre,p19_label,prov_nombre,localidad_nombre,tramo,estrato,birth_year,prov_resuelta,ciudad_id_real,nivel_matcheo,tramo_real,estrato_real
1,Córdoba Capital,Córdoba,Instituto,https://www.bdfa.com.ar/jugadores-GASTON-NICOLAS-CAPRARI-24710.html,1,Q5876167,Gastón Caprari,Córdoba,Córdoba,Córdoba,>500k,metropoli,1985,14,AGLO_2,sin_adornos,>500k,metropoli
2,Sancti Spiritu,Santa Fe,Boca Juniors,https://www.bdfa.com.ar/jugadores-GUILLERMO-MIGUEL-VALDEZ-2645.html,1,Q5888988,Guillermo Valdez,Sancti Spiritu,Santa Fe,Gaboto,<10k,resto,1978,82,LOC_82042260,exacto,<10k,resto
3,Monte Cristo,Córdoba,Belgrano,https://www.bdfa.com.ar/jugadores-GABRIEL-GUSTAVO-ALANIS-100284.html,1,Q19984518,Gabriel Alanís,Córdoba,Córdoba,Córdoba,>500k,metropoli,1994,14,LOC_14105190,compacto,10–50k,resto
4,San Salvador,Jujuy,Gimnasia y Esgrima de Jujuy,https://www.bdfa.com.ar/jugadores-JULIAN-AGUSTIN-RAMIREZ-111647.html,1,Q60737009,Julián Ramírez,San Salvador de Jujuy,Jujuy,San Salvador de Jujuy,100–500k,resto,1999,38,AGLO_18,prefijo,100–500k,resto
5,Ciudad Autónoma de Buenos aires,Ciudad Autónoma de Buenos aires,San Lorenzo de Almagro,https://www.bdfa.com.ar/jugadores-GERARDO-DAMIAN-RIVERO-2194.html,1,Q537937,Gerardo Rivero,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1975,02,AGLO_1,exacto,>500k,metropoli
6,,,,,0,Q55375268,Santiago López,La Carlota,Córdoba,La Carlota,10–50k,resto,1997,,,no_verificable,,
7,Avellaneda,Buenos Aires,Lanús,https://www.bdfa.com.ar/jugadores-BRIAN-MAURICIO-AGUILAR-137507.html,1,Q116168715,Brian Aguilar,Avellaneda,Buenos Aires,Avellaneda,>500k,metropoli,2003,06,AGLO_1,exacto,>500k,metropoli
8,,,,,0,Q8194131,Alejandro Molina,Tres Isletas,Chaco,Tres Isletas,10–50k,resto,1997,,,no_verificable,,
9,Alberti,Buenos aires,Vélez Sarsfield,https://www.bdfa.com.ar/jugadores-ALEJO-URIEL-SARCO-149731.html,1,Q125812845,Alejo Sarco,Alberti,Buenos Aires,Alberti,<10k,resto,2006,06,LOC_06021010,exacto,<10k,resto
10,Mendoza,Mendoza,Jorge Newbery de Villa Mercedes,https://www.bdfa.com.ar/jugadores-JULIAN-ALEJANDRO-NAVAS-100812.html,1,Q61245671,Julián Navas,Mendoza,Mendoza,Mendoza,>500k,metropoli,1993,50,AGLO_4,exacto,>500k,metropoli
11,,,,,0,Q102155276,Fabián Sánchez,Mar del Plata,Buenos Aires,Mar del Plata,>500k,metropoli,2001,,,no_verificable,,
12,Pujato,Santa Fe,Newells Old Boys,https://www.bdfa.com.ar/jugadores-LIONEL-SEBASTIAN-SCALONI-5406.html,1,Q311586,Lionel Scaloni,Pujato,Santa Fe,Pujato,<10k,resto,1978,82,LOC_82119090,exacto,<10k,resto
